eval_episode,step,reward,latency_ms,energy_j,tier,tier_name,resource,deadline_met,over_capacity,category,agent,seed,w_latency,w_energy,iot_nodes,arrival_rate
1,27,-5.575426813037187,35.75621166655368,0.5472961596437269,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,28,-1.9593162044583432,45.19021277206138,0.9985597591172828,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,29,-0.8655956139017467,38.210462053383345,0.8655189306813155,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,0,-3.4038733884529595,49.838856137146024,1.049010880658771,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,1,-0.8244215954986688,78.53811515055833,1.9731048205675517,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,2,-1.398806793370009,20.53428138415881,0.3525991976379607,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,3,-1.5160193994660536,21.40341662100436,0.3701770644415232,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,4,-1.20237826282362,64.27907933851002,1.562122298416431,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,5,-1.0879538584192519,32.152922786421925,0.6876323366598709,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,6,-0.7815186230304566,51.06349013203171,1.222303781471027,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,7,-0.3287941409971106,37.994693635988384,0.8882067281716863,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,8,-2.797903532565421,20.22207096621102,0.26949419691140675,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,9,-0.6740198769856844,23.280227364654536,0.4664847146044683,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,10,-1.4048741499542654,62.45477042279623,1.5013280241580007,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,11,-1.346444844900031,58.08783012345861,1.3847422454372145,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,12,-1.248478470371385,18.90056033291585,0.3158283085827558,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,13,-0.2728856745687536,23.228834042127026,0.4864494012329842,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,14,-0.8405902027387626,15.24332872084831,0.23731585083821735,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,15,-2.187582267774793,34.84995851402815,0.702967989034798,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,16,-0.5945457434584548,14.56495954432826,0.2318314040140866,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,17,-0.9954873348005427,29.901644891932737,0.6308510296914822,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,18,-3.200717621711235,106.90449321701217,2.7305850745060236,1,Fog,1,False,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,19,-0.6977110471993314,43.10108699979493,1.008517594800286,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,20,-1.121925994913621,21.903911798791867,0.40489401574709805,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,21,-0.4160556666986106,18.70466413618982,0.3548122221154007,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,22,-1.0985737179700374,12.013370758859091,0.13503583662197763,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,23,-1.586834388246941,73.93076571017345,1.8061929270240185,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,24,-4.445528640856177,31.14121494798266,0.4810015156241781,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,25,-1.1645269618988237,67.55446352243258,1.653918285873617,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
